,ClientPool-G,ClientPool-I,ClientPool-J,Total
1,4.14,4.12,4.11,12.370000000000001
2,19.58,19.6,19.55,58.730000000000004
3,25.59,27.08,27.86,80.53
4,24.46,25.2,29.29,78.94999999999999
5,24.33,20.7,30.16,75.19
6,25.94,24.17,36.61,86.72
7,24.96,21.27,35.39,81.62
8,23.33,22.52,36.25,82.1
9,26.03,23.69,37.0,86.72
10,22.83,23.53,35.3,81.66
11,22.71,23.03,33.62,79.36
12,23.63,25.79,35.87,85.28999999999999
13,24.09,25.41,34.37,83.87
14,23.22,22.88,36.02,82.12
