,ClientPool-G,ClientPool-I,ClientPool-J,Total
1,10.33,10.31,10.31,30.950000000000003
2,7.26,7.21,6.93,21.4
3,15.0,8.58,13.68,37.26
4,26.81,19.84,20.81,67.46
5,10.03,22.03,27.28,59.34
6,15.84,18.1,38.01,71.94999999999999
7,17.69,20.33,29.58,67.6
8,22.79,18.93,34.25,75.97
9,25.08,23.41,35.06,83.55
10,21.97,15.21,33.05,70.22999999999999
11,19.17,17.55,36.58,73.3
12,18.14,16.26,32.0,66.4
13,23.96,20.87,33.93,78.75999999999999
14,21.93,22.25,32.69,76.87
